cluster,template_N,observed_matches,mc_mean,mc_std,enrichment,significant,template_[C/Fe],sigma_[C/Fe],template_[O/Fe],sigma_[O/Fe],template_[Mg/Fe],sigma_[Mg/Fe],template_[Si/Fe],sigma_[Si/Fe],template_[Al/Fe],sigma_[Al/Fe],template_[Fe/H],sigma_[Fe/H]
BH 211,3,147,53.2,70.0,2.76,False,-0.0819,0.0457,-0.0295,0.01,-0.0307,0.0222,0.0105,0.0255,0.038,0.01,0.2005,0.0148
Berkeley 17,9,149,150.7,224.6,0.99,False,0.0224,0.0222,0.0955,0.0132,0.0907,0.0176,0.0392,0.0151,0.0731,0.0364,-0.1823,0.0319
Berkeley 18,29,605,1551.4,1963.8,0.39,False,-0.0442,0.0449,0.1094,0.0581,0.1001,0.0175,0.083,0.0314,0.0749,0.0449,-0.3741,0.0313
Berkeley 2,7,2767,1832.0,2011.1,1.51,False,-0.0657,0.0699,0.0104,0.0567,-0.03,0.04,-0.0119,0.0401,0.0013,0.0311,-0.21,0.022
Berkeley 21,5,178,898.4,1074.6,0.2,False,-0.1048,0.0291,0.0658,0.0307,0.0801,0.0298,-0.0343,0.0393,0.0723,0.045,-0.2437,0.0214
Berkeley 22,5,19,217.1,297.9,0.09,False,-0.1057,0.0172,0.0987,0.0125,0.08,0.0217,0.0747,0.0131,0.1571,0.0974,-0.343,0.0291
Berkeley 31,3,143,626.6,809.8,0.23,False,0.0008,0.0616,0.1464,0.0386,0.0962,0.01,0.0633,0.0188,0.0431,0.0821,-0.4299,0.0222
Berkeley 53,7,2651,1426.8,1682.5,1.86,False,-0.1067,0.0564,0.0291,0.0307,0.0233,0.0334,0.0155,0.0194,0.0188,0.0646,-0.126,0.0282
Berkeley 66,8,802,1259.4,1734.2,0.64,False,-0.0676,0.0275,0.0669,0.0586,0.0865,0.0204,0.0417,0.0247,0.0187,0.0439,-0.2253,0.0378
Berkeley 75,3,0,192.5,267.6,0.0,False,-0.163,0.06,0.171,0.0448,0.1247,0.0146,0.065,0.0151,0.1373,0.0142,-0.4062,0.0172
Berkeley 9,5,59533,38438.9,25520.6,1.55,False,-0.1082,0.1986,0.0122,0.0707,-0.0589,0.094,0.0402,0.0496,-0.1451,0.2887,-0.1616,0.1159
Berkeley 98,3,142,68.3,101.7,2.08,False,-0.0543,0.047,0.0421,0.0173,0.0184,0.0208,-0.0013,0.01,0.0412,0.0156,-0.0527,0.0155
Chupina 4,5,101,188.3,270.0,0.54,False,0.0015,0.0272,0.0984,0.0445,0.0454,0.0144,0.0305,0.0419,0.009,0.0243,-0.007,0.01
Chupina 5,7,1641,924.8,1078.9,1.77,False,-0.006,0.0162,0.015,0.0443,0.0102,0.0739,0.0507,0.0469,0.0375,0.0286,0.0024,0.0251
Czernik 20,6,261,153.8,226.7,1.7,False,-0.1394,0.051,0.052,0.0697,0.0152,0.0167,0.0105,0.0161,0.0108,0.0143,-0.1767,0.0109
Czernik 21,3,59,114.9,185.8,0.51,False,-0.0939,0.0186,0.1506,0.0531,0.0514,0.0191,0.0204,0.0201,0.0603,0.0246,-0.327,0.01
ESO 211 03,15,114,396.5,582.9,0.29,False,-0.1539,0.0478,0.0659,0.0365,-0.0137,0.0151,-0.0068,0.0201,0.0609,0.0225,-0.1644,0.027
ESO 518 03,10,18860,11036.4,9614.9,1.71,False,-0.0569,0.0864,0.0189,0.074,-0.0236,0.0403,0.0586,0.0463,0.0627,0.0631,0.0701,0.0522
FSR 0394,3,144,141.8,224.0,1.02,False,-0.117,0.0212,-0.0195,0.0329,-0.0068,0.01,0.0144,0.0187,0.0554,0.0372,-0.118,0.0155
FSR 0937,3,25,228.3,362.7,0.11,False,-0.148,0.01,0.0412,0.0303,0.0533,0.0235,0.0175,0.01,0.0403,0.0551,-0.3495,0.042
IC 1369,3,265,61.3,92.9,4.32,False,-0.0939,0.0237,-0.0114,0.01,-0.0328,0.0107,-0.007,0.01,-0.0633,0.0367,-0.1127,0.0386
King 5,4,168,216.4,334.4,0.78,False,-0.1254,0.0215,0.0185,0.0257,0.0079,0.01,0.0122,0.0218,-0.011,0.0457,-0.1594,0.0235
NGC 1193,4,47,74.2,107.3,0.63,False,-0.0385,0.022,0.1224,0.0128,0.087,0.0136,0.0502,0.01,0.1086,0.095,-0.347,0.0179
NGC 1798,15,428,420.5,608.2,1.02,False,-0.1258,0.024,0.0243,0.0435,0.0121,0.0203,0.0181,0.0208,0.0242,0.0466,-0.2786,0.0255
NGC 188,75,998,2076.2,2423.1,0.48,False,0.0271,0.0372,0.0595,0.0415,0.0523,0.022,0.0365,0.0305,0.0573,0.0738,0.0731,0.035
NGC 2204,22,541,710.4,978.0,0.76,False,-0.1515,0.0663,0.0547,0.0331,0.0449,0.0157,0.0239,0.0165,0.0261,0.0455,-0.2847,0.0291
NGC 2243,22,391,2600.8,2865.7,0.15,False,-0.0466,0.0575,0.197,0.0605,0.0985,0.0308,0.0796,0.0279,0.1142,0.045,-0.462,0.0291
NGC 2420,30,7062,6391.7,6315.0,1.1,False,-0.0646,0.0749,0.0882,0.0655,0.0303,0.032,0.0298,0.0388,0.0642,0.0804,-0.2007,0.0331
NGC 2447,3,2,15.0,25.6,0.13,False,-0.1446,0.036,0.0235,0.01,-0.0043,0.01,0.0212,0.01,0.0316,0.0169,-0.1067,0.0131
NGC 4337,9,73,286.7,438.4,0.25,False,-0.0712,0.0311,0.0033,0.0189,0.0019,0.019,0.0353,0.0157,0.0219,0.0406,0.2342,0.0306
NGC 6791,67,10,883.8,1226.1,0.01,False,0.0859,0.0315,0.0679,0.0164,0.0665,0.0231,0.0096,0.0236,-0.0056,0.0544,0.3023,0.0534
NGC 6811,8,748,680.9,876.4,1.1,False,-0.1349,0.0205,-0.0063,0.0484,-0.0129,0.0176,0.0051,0.0135,-0.0221,0.0519,-0.0444,0.0417
NGC 6866,5,141,71.8,118.2,1.96,False,-0.1397,0.0183,-0.0587,0.0351,-0.0112,0.0168,-0.0146,0.01,-0.0463,0.0207,0.0033,0.0158
NGC 7789,74,8902,2124.7,2556.2,4.19,True,-0.0979,0.0605,-0.0004,0.0452,-0.0096,0.0252,0.0097,0.0388,-0.0111,0.039,-0.0398,0.0419
Platais 4,3,1115,3281.3,3623.8,0.34,False,-0.0787,0.0554,0.0933,0.0553,0.0991,0.0197,0.0499,0.0337,0.072,0.0469,-0.3563,0.0579
Teutsch 51,5,472,909.4,1134.4,0.52,False,-0.0939,0.0362,0.1587,0.0511,0.0157,0.0213,0.0294,0.0484,0.0766,0.042,-0.3378,0.0169
Trumpler 20,25,675,238.7,324.5,2.83,False,-0.1418,0.0463,-0.0148,0.0241,-0.026,0.0141,0.0012,0.0142,0.0116,0.0333,0.1051,0.0223
Trumpler 26,3,2033,1664.2,2010.2,1.22,False,-0.0389,0.0576,-0.0023,0.0601,-0.0193,0.0331,-0.0143,0.01,-0.0803,0.042,0.2157,0.0422
Trumpler 5,10,17,278.5,394.5,0.06,False,-0.0623,0.0325,0.13,0.0254,0.0819,0.029,0.0564,0.0122,0.1167,0.0476,-0.4487,0.0145
