cluster,CO_std,MgFe_std,SiFe_std,AlFe_std,FeH_std,CO_coherent,MgFe_coh,SiFe_coh,AlFe_coh,FeH_coh,age_gyr,coherence_score,n_alpha_coh,L1_CO,L2_CO_plus1,L3_CO_plus2,L4_CO_plus3,L5_all5
Berkeley 22,0.0153961258433165,0.0216737907400129,0.0130970738892082,0.0973572824192113,0.0291363401957074,True,True,True,False,True,2.4547,0.1720151111365291,2,True,True,True,False,False
Trumpler 26,0.0159468399116884,0.0330833049475628,0.0047388651415959,0.0420076948701072,0.0422157707498039,True,False,True,True,False,0.2512,0.1570421157140694,2,True,True,True,False,False
Teutsch 51,0.0223144472813628,0.0212779341485203,0.0484396315511695,0.0419951616235134,0.0168894946638435,True,True,False,True,True,0.6761,0.2006742853606617,2,True,True,True,False,False
NGC 1193,0.0240909495919354,0.0135739682418468,0.002628661663312,0.0949592316640929,0.0179332677353199,True,True,True,False,True,5.1286,0.121364770403393,2,True,True,True,False,False
Berkeley 21,0.0273783486529784,0.0298050514364536,0.0392645901290259,0.0450389897740398,0.0214197145172385,True,True,False,True,True,2.138,0.2107545828954391,2,True,True,True,False,False
FSR 0937,0.0277457722483623,0.0235317924979122,0.0092835039378099,0.0550551925947656,0.0419758768024365,True,True,True,False,False,1.2023,0.1644574533663469,2,True,True,True,False,False
Berkeley 17,0.0281938885703554,0.017567650835708,0.0150984691930474,0.0364298089009996,0.0318636976040132,True,True,True,True,False,7.2444,0.1384868358932885,3,True,True,True,True,False
Trumpler 5,0.0282342914867475,0.0289981198718453,0.0121686676097728,0.0476231516040502,0.014460977990594,True,True,True,True,True,4.2658,0.1417536602190064,3,True,True,True,True,True
IC 1369,0.0296849332894809,0.0106732696532146,0.007562827426611,0.0367498760587479,0.0386135626475119,True,True,True,True,False,0.2884,0.1169244844089349,3,True,True,True,True,False
Berkeley 98,0.0319668678280042,0.020813171387249,0.0083064020619339,0.015573230504084,0.0155164114730178,True,True,True,True,True,2.4547,0.097189415753589,3,True,True,True,True,True
NGC 2447,0.0325129157075436,0.0021564908416223,0.0067182579835351,0.0168814637036217,0.0131227115465262,True,True,True,True,True,0.5754,0.0512626936065228,3,True,True,True,True,True
NGC 4337,0.0343986525745148,0.0190032672622,0.0156552259235283,0.0406010480608403,0.0305977119696518,True,True,True,True,False,1.4454,0.1489492425891878,3,True,True,True,True,False
Czernik 21,0.0346484280225236,0.0190533009160468,0.0201474866111781,0.0246273027518978,0.0080142394107821,True,True,True,True,True,2.5704,0.1183853978409038,3,True,True,True,True,True
NGC 6866,0.0378718155413552,0.0168408015656025,0.0047268908537727,0.020673772186208,0.0157553783724111,True,True,True,True,True,0.6457,0.0890446690694484,3,True,True,True,True,True
NGC 6791,0.039967083813013,0.0231271294660685,0.0235589015878394,0.0544000752057383,0.053440077681601,True,True,True,False,False,6.3096,0.2196552763707285,2,True,True,True,False,False
Trumpler 20,0.0409114085256241,0.0141150143803496,0.0142250096996163,0.0333062159021758,0.0222897470441755,True,True,True,True,True,1.8621,0.1241639311364253,3,True,True,True,True,True
Berkeley 53,0.0415354253133476,0.0334392681418797,0.0194155619065031,0.0645949921455914,0.0281694054005235,True,False,True,False,True,0.9772,0.2079150005724083,1,True,True,False,False,False
NGC 2243,0.0429668179264956,0.0307736508451722,0.0279466867622838,0.0450200588679443,0.0291493319371294,True,False,True,True,True,4.3652,0.2098910137013853,2,True,True,True,False,False
King 5,0.0448009767799718,0.0032073401490801,0.0218312551210919,0.0457297492769582,0.0234804633330207,True,True,True,True,True,1.0233,0.1307467572296425,3,True,True,True,True,True
ESO 211 03,0.0461896754247409,0.0151496968677839,0.0201056363776675,0.0224854116668211,0.0270314267368293,True,True,True,True,True,1.2882,0.1423439431036755,3,True,True,True,True,True
NGC 6811,0.047780086274881,0.01756429819607,0.0135211228891522,0.0519077601447432,0.041741489344493,True,True,True,False,False,1.0715,0.1740775811175736,2,True,True,True,False,False
Berkeley 75,0.0495965570541337,0.0146390855361027,0.0151221614410782,0.0142206786054674,0.0171577426642706,True,True,True,True,True,1.6982,0.1139715801377061,3,True,True,True,True,True
NGC 188,0.051547143302974,0.0220291084685595,0.030467457385355,0.0738111008619906,0.0350158435274328,True,True,False,False,False,7.0795,0.2310841829927445,1,True,True,False,False,False
Czernik 20,0.0530569639020568,0.0166709085482488,0.0160611985889686,0.0142734096987072,0.0109378341853708,True,True,True,True,True,1.6596,0.1150390870979196,3,True,True,True,True,True
NGC 2353,0.0542372802195927,0.0298186760165129,0.0198173955148248,0.0552759586007214,0.0193210898372736,False,True,True,False,True,0.1023,0.192683252038187,2,False,False,False,False,False
BH 211,0.0550003175189096,0.0221712220630716,0.0254761698369953,0.0030324308401236,0.0148112929887974,True,True,True,True,True,0.4266,0.1467894599967981,3,True,True,True,True,True
NGC 2204,0.0565197987392175,0.0156522944105702,0.0164555116212543,0.0454668449017823,0.029065859284976,True,True,True,True,True,2.0893,0.1621063365349462,3,True,True,True,True,True
NGC 6819,0.0576532812915328,0.0145972308728303,0.0220050690104141,0.0397301664097807,0.0394654335425417,False,True,True,True,False,2.2387,0.1827738659976314,3,False,False,False,False,False
NGC 1907,0.0593827830954037,0.0079028840426771,0.0137159204671879,0.0321298859514523,0.0072069850376793,False,True,True,True,True,0.5888,0.1032577717815398,3,False,False,False,False,False
Melotte 71,0.0616810873081685,0.0166892496478662,0.0267881517316432,0.0499954637672226,0.020229992585268,False,True,True,True,True,0.9772,0.1830241523415993,3,False,False,False,False,False
NGC 1817,0.0645799572439074,0.0283716373445333,0.0276406433305035,0.0109471206921088,0.0210460025047174,False,True,True,True,True,1.122,0.1863338334816001,3,False,False,False,False,False
NGC 1798,0.0651612996174149,0.0202589822614213,0.0207615642109491,0.0465727621796594,0.0254936858289039,True,True,True,True,True,1.6596,0.1845647455942805,3,True,True,True,True,True
Berkeley 66,0.0688378557314873,0.0203553310802119,0.0246815971299045,0.0438750962614705,0.0377632440343781,True,True,True,True,False,3.0903,0.2106673849670097,3,True,True,True,True,False
FSR 0494,0.0689108980624278,0.0227175479606475,0.0211704506568909,0.0406788553999866,0.0261369689080428,False,True,True,True,True,0.8913,0.1904719866483364,3,False,False,False,False,False
NGC 2420,0.0716272495096862,0.0319660421594669,0.0388230993541066,0.0804435649690167,0.0330877157831592,True,False,False,False,False,1.7378,0.2891448150533363,0,True,False,False,False,False
NGC 6705,0.072268413721875,0.0152409000231638,0.0128641915261473,0.0403603955849521,0.0425706322604509,False,True,True,True,False,0.309,0.1796774581440771,3,False,False,False,False,False
Berkeley 18,0.0722934008249539,0.017500360546406,0.0314064407453543,0.0448698809744489,0.0313132541068254,True,True,False,True,False,4.3652,0.2143937761572351,2,True,True,True,False,False
Berkeley 31,0.0751548719976258,0.0068822500354341,0.0187618949189689,0.0820633889784807,0.0221686475305403,True,True,True,False,True,2.8184,0.1792757653522768,2,True,True,True,False,False
NGC 2324,0.0771754863024258,0.0101259840070894,0.0129324892143415,0.0389259134838871,0.0194752373541376,False,True,True,True,True,0.537,0.1411334652889411,3,False,False,False,False,False
NGC 1245,0.0792340479289692,0.0229111546154608,0.0143770236762806,0.0324137865430809,0.026261361657034,False,True,True,True,True,1.2023,0.1781434549179589,3,False,False,False,False,False
Ruprecht 147,0.0855330671051033,0.0395560489654154,0.0328312350797652,0.0433617939091798,0.0192383860314937,False,False,False,True,True,3.0199,0.2589211167048351,1,False,False,False,False,False
NGC 7789,0.086450619607827,0.0252189585054611,0.0388279016934628,0.0389817621208064,0.0418721254799434,True,True,False,True,False,1.5488,0.2685916293432601,2,True,True,True,False,False
IC 348,0.086958491791821,0.0371431425433241,0.0249224723404272,0.0293692492682402,0.1107857408834836,False,False,True,True,False,0.0117,0.3478167356890373,2,False,False,False,False,False
Melotte 20,0.0880293056083299,0.0531185969261266,0.0403989561714731,0.0566738113448925,0.0358792432157233,False,False,False,False,False,0.0513,0.3384986113341822,0,False,False,False,False,False
Melotte 22,0.0900352157816452,0.0462759159968314,0.0425893132048984,0.0532768844582159,0.036723298033099,False,False,False,False,False,0.0776,0.3288138935717342,0,False,False,False,False,False
IC 166,0.0921213992501999,0.0164216217132163,0.0166483875702523,0.0552765541629774,0.0219336169855012,False,True,True,False,True,1.3183,0.1894755531227328,2,False,False,False,False,False
Teutsch 12,0.0943307471268311,0.0552410847275601,0.0395729843986401,0.0261335484307309,0.0110780165192149,False,False,False,True,True,0.8318,0.2921610415177198,1,False,False,False,False,False
NGC 2264,0.095928614173334,0.0752173092876443,0.0486133845983595,0.0351953297760516,0.1329669509049199,False,False,False,True,False,0.0275,0.5238365472109751,1,False,False,False,False,False
Berkeley 85,0.0963947636260444,0.0274744684337205,0.0243136601875138,0.0656205552041432,0.1196194498597249,False,True,True,False,False,0.4169,0.3698014847166097,2,False,False,False,False,False
King 7,0.0999739547897195,0.0152861538935475,0.030417744496678,0.0570882567725919,0.0350054666479122,False,True,False,False,False,0.2239,0.242386473046788,1,False,False,False,False,False
Berkeley 2,0.103508696310906,0.0400133800178528,0.0401016134588849,0.031069451469857,0.0219573364461521,True,False,False,True,True,0.5888,0.2851693721051759,1,True,True,False,False,False
SAI 116,0.1054113272754971,0.0278170144401464,0.0098866112067758,0.0125147173152285,0.0053295528267701,False,True,True,True,True,0.1259,0.1577226790918072,3,False,False,False,False,False
ASCC 21,0.1121422615742408,0.0880256303749726,0.0623360956374733,0.0532728133862581,0.1549444778486457,False,False,False,False,False,0.0089,0.6365980514610464,0,False,False,False,False,False
NGC 2632,0.1159817668746579,0.0572398388755883,0.0390552819226537,0.0639174205362077,0.0302641680657404,False,False,False,False,False,0.6761,0.3639526951276706,0,False,False,False,False,False
NGC 752,0.117347094849117,0.0654664498204246,0.0693059841758782,0.0557861656624713,0.0682180363309394,False,False,False,False,False,1.1749,0.4947877607106707,0,False,False,False,False,False
ESO 518 03,0.127774859047662,0.0402774142781462,0.0463150872631468,0.0630956155206106,0.0521835028151841,True,False,False,False,False,1.4125,0.3807764555139596,0,True,False,False,False,False
Tombaugh 2,0.1320133626055354,0.0203214624112273,0.0377214644646298,0.0482052275969191,0.0742014413793814,False,True,False,True,False,1.6218,0.3400411281012122,2,False,False,False,False,False
Collinder 69,0.1354831901204117,0.0745279382480785,0.0510678839219857,0.0606084553082924,0.117296034294132,False,False,False,False,False,0.0126,0.5558577790623136,0,False,False,False,False,False
NGC 2158,0.1355052123003189,0.0264606059523177,0.0212339487038545,0.0404259337989712,0.0277694650788529,False,True,True,True,True,1.5488,0.2527000174999287,3,False,False,False,False,False
Berkeley 33,0.1362501906071014,0.0855533784827934,0.0833357371944367,0.0779688000933706,0.094904851474165,False,False,False,False,False,0.2344,0.6352341448039849,0,False,False,False,False,False
ASCC 16,0.1393447475788646,0.0766399803154466,0.0646146117882874,0.0888265140328125,0.103756928013455,False,False,False,False,False,0.0135,0.5956755520112746,0,False,False,False,False,False
Berkeley 9,0.1410418927316293,0.0939526321682984,0.0496273527394103,0.288732207747312,0.1158577205239253,True,False,False,False,False,1.3804,0.7570160751704724,0,True,False,False,False,False
ASCC 19,0.1512476563573328,0.0766620347132645,0.0657402618997081,0.0893870882356066,0.0999052592566689,False,False,False,False,False,0.0105,0.6028519622791383,0,False,False,False,False,False
NGC 2682,0.1551495151399197,0.0538658103411552,0.0565397292652252,0.0773191648916023,0.0468739014920478,False,False,False,False,False,4.2658,0.4575108056373174,0,False,False,False,False,False
Kharchenko 1,0.1559032870570193,0.0490047953081429,0.0441452355568117,0.1218489614268746,0.0725886486778693,False,False,False,False,False,0.7079,0.4848457887062688,0,False,False,False,False,False
NGC 1857,0.1764991152340345,0.0450322484873803,0.020608146456742,0.0727899312870198,0.0030017878006281,False,False,True,False,True,0.2512,0.3137338315248201,1,False,False,False,False,False
Berkeley 71,0.1788978925951333,0.0087265973134918,0.0177131020117653,0.0530282546077355,0.0315647712912143,False,True,True,False,False,0.871,0.2539532054245018,2,False,False,False,False,False
BH 56,0.1877377933004793,0.054093742145573,0.0921078279829176,0.1816176660306113,0.0952926315566517,False,False,False,False,False,0.0178,0.6996866076632828,0,False,False,False,False,False
ASCC 11,0.2647922137866837,0.0359181091987107,0.0270981612304901,0.0555427839234754,0.1304839241401024,False,False,True,False,False,0.2455,0.5330615933456799,1,False,False,False,False,False
